timestamp_iso,ts,rms_ra,rms_dec,rms_total,peak_ra,peak_dec,snr_avg,hfd_avg,spike_score,trend_ra,trend_dec,condition,frame_count,consecutive_high,consecutive_low,actions_count,actions_summary
2026-05-09T14:33:29,1778330009.97,0.4875,0.1917,0.5239,0.4875,0.1917,45.9,1.98,0.0,0.0,0.0,NOMINAL,1,0,0,0,
2026-05-09T14:33:31,1778330011.97,0.4244,0.3055,0.5229,0.4875,0.3872,45.59,2.05,0.0,0.0,0.0,NOMINAL,2,0,0,0,
2026-05-09T14:33:33,1778330013.98,0.3544,0.2787,0.4509,0.4875,0.3872,47.87,2.01,0.0,-0.179216,0.011674,NOMINAL,3,0,1,0,
2026-05-09T14:33:35,1778330015.98,0.3194,0.2422,0.4009,0.4875,0.3872,46.08,1.98,0.0,-0.045265,-0.062504,NOMINAL,4,0,2,0,
2026-05-09T14:33:37,1778330017.98,0.2969,0.2411,0.3825,0.4875,0.3872,45.02,1.98,0.0,-0.080919,-0.120338,NOMINAL,5,0,3,0,
2026-05-09T14:33:39,1778330019.98,0.3649,0.223,0.4276,0.5984,0.3872,45.09,1.98,0.0,-0.139236,-0.098475,NOMINAL,6,0,4,0,
2026-05-09T14:33:41,1778330021.98,0.3617,0.2068,0.4167,0.5984,0.3872,46.91,1.98,0.0,-0.04436,-0.067264,NOMINAL,7,0,5,0,
2026-05-09T14:33:43,1778330023.98,0.3658,0.2155,0.4246,0.5984,0.3872,47.2,2.03,0.0,0.003111,-0.028896,NOMINAL,8,0,6,0,
2026-05-09T14:33:45,1778330025.98,0.3451,0.2169,0.4076,0.5984,0.3872,46.37,2.01,0.0,-0.003748,-0.042144,NOMINAL,9,0,7,0,
2026-05-09T14:33:47,1778330027.98,0.3276,0.219,0.3941,0.5984,0.3872,46.13,2.02,0.0,-0.006875,-0.021242,NOMINAL,10,0,8,3,RA Aggressiveness 70.0→72.0 | DEC Aggressiveness 60.0→62.0 | DEC MinMove 0.1→0.2
2026-05-09T14:33:49,1778330029.98,0.3136,0.2193,0.3827,0.5984,0.3872,45.61,2.04,0.0,-0.010804,-0.029755,NOMINAL,11,0,9,0,
2026-05-09T14:33:51,1778330031.98,0.3147,0.21,0.3783,0.5984,0.3872,45.35,2.02,0.0833,0.003443,-0.024884,NOMINAL,12,0,10,0,
2026-05-09T14:33:53,1778330033.98,0.3024,0.2044,0.365,0.5984,0.3872,45.27,2.0,0.0769,0.000474,-0.02508,NOMINAL,13,0,11,0,
2026-05-09T14:33:55,1778330035.99,0.324,0.1971,0.3793,0.5984,0.3872,45.55,2.02,0.0714,0.014338,-0.021995,NOMINAL,14,0,12,0,
2026-05-09T14:33:57,1778330037.99,0.3155,0.1933,0.37,0.5984,0.3872,45.66,2.03,0.0667,0.013515,-0.02191,NOMINAL,15,0,13,2,RA Aggressiveness 72.0→74.0 | DEC Aggressiveness 62.0→64.0
2026-05-09T14:33:59,1778330039.99,0.3055,0.1929,0.3613,0.5984,0.3872,45.78,2.0,0.0625,0.009457,-0.022648,NOMINAL,16,0,14,0,
2026-05-09T14:34:01,1778330041.99,0.298,0.1923,0.3547,0.5984,0.3872,45.91,1.99,0.0588,0.003807,-0.01546,NOMINAL,17,0,15,0,
2026-05-09T14:34:03,1778330043.99,0.2998,0.1876,0.3536,0.5984,0.3872,46.3,1.98,0.0556,0.007824,-0.014577,NOMINAL,18,0,16,0,
2026-05-09T14:34:05,1778330045.99,0.3053,0.1826,0.3558,0.5984,0.3872,45.83,2.0,0.1053,0.011601,-0.01266,NOMINAL,19,0,17,0,
2026-05-09T14:34:07,1778330047.99,0.2993,0.1797,0.3491,0.5984,0.3872,45.59,2.02,0.1,0.010589,-0.012592,NOMINAL,20,0,18,2,RA Aggressiveness 74.0→75.0 | DEC Aggressiveness 64.0→66.0
2026-05-09T14:34:09,1778330049.99,0.2925,0.1765,0.3416,0.5984,0.3872,45.5,2.03,0.0952,0.008817,-0.012162,NOMINAL,21,0,19,0,
2026-05-09T14:34:12,1778330052.01,0.3352,0.1728,0.3771,0.8219,0.3872,45.29,2.02,0.0909,-0.003224,-0.009987,NOMINAL,22,0,20,0,
2026-05-09T14:34:14,1778330054.02,0.3287,0.1694,0.3698,0.8219,0.3872,45.31,2.01,0.1304,-0.002161,-0.009411,NOMINAL,23,0,21,0,
2026-05-09T14:34:16,1778330056.02,0.3275,0.1687,0.3684,0.8219,0.3872,45.45,2.01,0.0833,-0.00546,-0.006774,NOMINAL,24,0,22,0,
2026-05-09T14:34:18,1778330058.02,0.324,0.1933,0.3773,0.8219,0.501,45.53,2.01,0.12,-0.003145,-0.001441,NOMINAL,25,0,23,1,DEC Aggressiveness 66.0→68.0
