timestamp_iso,ts,rms_ra,rms_dec,rms_total,peak_ra,peak_dec,snr_avg,hfd_avg,spike_score,trend_ra,trend_dec,condition,frame_count,consecutive_high,consecutive_low,actions_count,actions_summary
2026-04-28T18:41:37,1777394497.15,0.4222,0.0728,0.4284,0.4222,0.0728,39.08,2.78,0.0,0.0,0.0,NOMINAL,1,0,1,0,
2026-04-28T18:41:39,1777394499.15,0.2986,0.1903,0.3541,0.4222,0.259,43.22,2.38,0.0,0.0,0.0,NOMINAL,2,0,2,0,
2026-04-28T18:41:41,1777394501.15,0.3019,0.1564,0.34,0.4222,0.259,42.83,2.31,0.0,-0.365286,0.020766,NOMINAL,3,0,3,0,
2026-04-28T18:41:43,1777394503.15,0.4002,0.1816,0.4394,0.6058,0.259,42.09,2.28,0.0,-0.338022,0.117211,NOMINAL,4,0,4,0,
2026-04-28T18:41:45,1777394505.16,0.3677,0.1976,0.4174,0.6058,0.259,43.52,2.27,0.0,-0.181426,0.014317,NOMINAL,5,0,5,0,
2026-04-28T18:41:47,1777394507.16,0.3432,0.1943,0.3944,0.6058,0.259,42.75,2.33,0.0,-0.108912,0.044072,NOMINAL,6,0,6,0,
2026-04-28T18:41:49,1777394509.16,0.3353,0.1804,0.3808,0.6058,0.259,42.89,2.24,0.0,-0.022166,0.02728,NOMINAL,7,0,7,0,
2026-04-28T18:41:51,1777394511.16,0.3435,0.169,0.3828,0.6058,0.259,43.24,2.22,0.0,0.025142,0.023058,NOMINAL,8,0,8,0,
2026-04-28T18:41:53,1777394513.17,0.3872,0.1597,0.4189,0.6371,0.259,43.09,2.18,0.0,0.061638,0.020135,NOMINAL,9,0,9,0,
2026-04-28T18:41:55,1777394515.18,0.377,0.1966,0.4252,0.6371,0.396,43.72,2.15,0.0,0.027499,-0.005917,NOMINAL,10,0,10,2,RA Aggressiveness 70.0→72.0 | DEC Aggressiveness 60.0→62.0
2026-04-28T18:41:57,1777394517.18,0.4009,0.2002,0.4481,0.6371,0.396,44.17,2.13,0.0,0.046568,-0.012455,NOMINAL,11,0,11,0,
2026-04-28T18:41:59,1777394519.19,0.3838,0.2094,0.4372,0.6371,0.396,44.42,2.13,0.0,0.032869,-0.018015,NOMINAL,12,0,12,0,
