timestamp_iso,ts,rms_ra,rms_dec,rms_total,peak_ra,peak_dec,snr_avg,hfd_avg,spike_score,trend_ra,trend_dec,condition,frame_count,consecutive_high,consecutive_low,actions_count,actions_summary
2026-04-28T18:17:37,1777393057.68,0.325,0.0647,0.3314,0.325,0.0647,43.55,1.56,0.0,0.0,0.0,NOMINAL,1,0,1,0,
2026-04-28T18:17:39,1777393059.69,0.2573,0.1304,0.2885,0.325,0.1728,45.64,1.91,0.0,0.0,0.0,NOMINAL,2,0,2,0,
2026-04-28T18:17:41,1777393061.69,0.2296,0.1799,0.2917,0.325,0.2511,46.06,2.05,0.0,-0.242651,-0.1579,NOMINAL,3,0,3,0,
2026-04-28T18:17:43,1777393063.69,0.2397,0.1573,0.2867,0.325,0.2511,45.97,1.99,0.0,-0.177463,-0.014143,NOMINAL,4,0,4,0,
2026-04-28T18:17:45,1777393065.69,0.2546,0.1436,0.2923,0.325,0.2511,45.49,1.97,0.0,-0.136819,0.021478,NOMINAL,5,0,5,0,
2026-04-28T18:17:47,1777393067.69,0.2778,0.1425,0.3122,0.3726,0.2511,45.92,2.01,0.0,-0.008561,-0.000133,NOMINAL,6,0,6,0,
2026-04-28T18:17:49,1777393069.69,0.2618,0.1487,0.3011,0.3726,0.2511,44.56,2.07,0.0,0.012205,-0.01256,NOMINAL,7,0,7,0,
2026-04-28T18:17:51,1777393071.69,0.2454,0.1394,0.2823,0.3726,0.2511,44.78,2.1,0.0,0.005295,0.000665,NOMINAL,8,0,8,0,
2026-04-28T18:17:53,1777393073.69,0.2454,0.1315,0.2784,0.3726,0.2511,45.04,2.11,0.0,-0.011672,0.005701,NOMINAL,9,0,9,0,
2026-04-28T18:17:55,1777393075.69,0.2434,0.1423,0.2819,0.3726,0.2511,45.65,2.07,0.0,-0.018549,-0.004438,NOMINAL,10,0,10,2,RA Aggressiveness 70.0→72.0 | DEC Aggressiveness 60.0→62.0
2026-04-28T18:17:57,1777393077.69,0.2585,0.2296,0.3457,0.3777,0.6142,45.78,2.1,0.0909,0.005914,-0.02784,NOMINAL,11,0,11,0,
2026-04-28T18:17:59,1777393079.7,0.2482,0.2208,0.3322,0.3777,0.6142,45.94,2.11,0.0833,0.002768,-0.019477,NOMINAL,12,0,12,0,
2026-04-28T18:18:01,1777393081.7,0.2569,0.2127,0.3336,0.3777,0.6142,45.62,2.09,0.0769,0.014291,-0.009486,NOMINAL,13,0,13,0,
2026-04-28T18:18:03,1777393083.7,0.3222,0.2064,0.3826,0.7715,0.6142,46.39,2.12,0.1429,0.033315,-0.00202,NOMINAL,14,0,14,0,
2026-04-28T18:18:05,1777393085.7,0.3146,0.2004,0.373,0.7715,0.6142,45.42,2.13,0.1333,0.029956,-0.001266,NOMINAL,15,0,15,2,RA Aggressiveness 72.0→74.0 | DEC Aggressiveness 62.0→64.0
2026-04-28T18:18:07,1777393087.7,0.3046,0.1946,0.3615,0.7715,0.6142,45.65,2.14,0.125,0.022964,-0.000422,NOMINAL,16,0,16,0,
2026-04-28T18:18:09,1777393089.7,0.3053,0.1893,0.3593,0.7715,0.6142,45.63,2.15,0.1176,0.024111,0.000284,NOMINAL,17,0,17,0,
2026-04-28T18:18:11,1777393091.7,0.298,0.1873,0.352,0.7715,0.6142,45.24,2.12,0.1111,0.016908,-0.000838,NOMINAL,18,0,18,0,
2026-04-28T18:18:13,1777393093.7,0.2926,0.1851,0.3463,0.7715,0.6142,45.4,2.1,0.1053,0.010619,-0.001489,NOMINAL,19,0,19,0,
2026-04-28T18:18:15,1777393095.7,0.322,0.1921,0.375,0.7715,0.6142,45.34,2.09,0.1,0.017867,-0.004146,NOMINAL,20,0,20,2,RA Aggressiveness 74.0→76.0 | DEC Aggressiveness 64.0→66.0
2026-04-28T18:18:17,1777393097.7,0.3198,0.1882,0.3711,0.7715,0.6142,45.6,2.07,0.0952,0.010783,-0.003237,NOMINAL,21,0,21,0,
2026-04-28T18:18:19,1777393099.7,0.3137,0.1921,0.3678,0.7715,0.6142,45.51,2.06,0.1364,0.010082,0.001494,NOMINAL,22,0,22,0,
2026-04-28T18:18:21,1777393101.7,0.3403,0.188,0.3888,0.7715,0.6142,45.55,2.07,0.1304,0.015725,0.002549,NOMINAL,23,0,23,0,
2026-04-28T18:18:23,1777393103.7,0.3334,0.1847,0.3812,0.7715,0.6142,45.35,2.08,0.0833,0.013536,0.00384,NOMINAL,24,0,24,0,
2026-04-28T18:18:25,1777393105.71,0.3267,0.1811,0.3736,0.7715,0.6142,45.46,2.09,0.08,0.010789,0.004299,NOMINAL,25,0,25,2,RA Aggressiveness 76.0→78.0 | DEC Aggressiveness 66.0→68.0
2026-04-28T18:18:27,1777393107.71,0.3207,0.1777,0.3666,0.7715,0.6142,45.28,2.1,0.1538,0.009369,0.004088,NOMINAL,26,0,26,0,
2026-04-28T18:18:29,1777393109.71,0.33,0.1749,0.3735,0.7715,0.6142,45.19,2.1,0.0741,0.011743,0.004736,NOMINAL,27,0,27,0,
2026-04-28T18:18:31,1777393111.71,0.3422,0.1721,0.3831,0.7715,0.6142,45.26,2.1,0.0714,0.014038,0.005176,NOMINAL,28,0,28,0,
2026-04-28T18:18:33,1777393113.71,0.3376,0.1694,0.3777,0.7715,0.6142,45.33,2.09,0.1034,0.010666,0.004686,NOMINAL,29,0,29,0,
2026-04-28T18:18:35,1777393115.71,0.3427,0.2035,0.3986,0.7715,0.6399,45.04,2.14,0.1,0.005885,0.000487,NOMINAL,30,0,30,2,RA Aggressiveness 78.0→80.0 | DEC Aggressiveness 68.0→70.0
2026-04-28T18:18:37,1777393117.71,0.4054,0.23,0.4661,1.2301,0.6399,45.21,2.2,0.1,0.014796,-0.001831,NOMINAL,30,0,29,0,
2026-04-28T18:18:39,1777393119.71,0.4044,0.228,0.4642,1.2301,0.6399,44.34,2.22,0.1,0.011748,-0.001983,NOMINAL,30,0,28,0,
2026-04-28T18:18:41,1777393121.71,0.4209,0.2305,0.4799,1.2301,0.6399,43.67,2.27,0.1,0.004663,-0.00042,NOMINAL,30,0,27,0,
2026-04-28T18:18:43,1777393123.71,0.4275,0.2712,0.5063,1.2301,0.7842,42.96,2.33,0.1333,-0.00184,-0.004141,NOMINAL,30,0,26,0,
2026-04-28T18:18:45,1777393125.71,0.4308,0.2774,0.5124,1.2301,0.7842,42.54,2.39,0.1,-0.00262,-0.000201,NOMINAL,30,0,25,1,DEC Aggressiveness 70.0→72.0
